Epoch,learning rate,training loss,training energy RMSE (per atom),training energy MAE (per atom),training forces RMSE,training forces MAE,validation loss,validation energy RMSE (per atom),validation energy MAE (per atom),validation forces RMSE,validation forces MAE
,,,meV,meV,meV/A,meV/A,,meV,meV,meV/A,meV/A
   0,0.000e+00,4.044e+02,1342.6,1303.1,1104.6,732.71,2.425e+01,1347.2,1309.7,1042.5,698.91
   1,1.000e-05,4.134e+01, 376.6, 210.4, 985.8,612.68,7.179e-01, 131.7,  90.7, 897.9,552.31
   2,2.000e-05,1.449e+01, 145.2,  95.9, 955.2,577.40,6.819e-01, 126.1,  91.5, 882.2,531.36
   3,3.000e-05,1.389e+01, 137.4,  90.8, 947.3,566.95,6.402e-01, 112.6,  75.6, 880.8,531.57
   4,4.000e-05,1.371e+01, 134.1,  89.7, 946.8,568.54,6.669e-01, 122.8, 101.3, 875.5,524.93
   5,5.000e-05,1.359e+01, 133.5,  91.9, 947.8,570.87,6.340e-01, 107.7,  73.8, 885.8,540.65
   6,5.000e-05,1.345e+01, 131.9,  92.5, 946.4,568.65,7.161e-01, 138.0, 121.2, 872.1,521.08
   7,5.000e-05,1.390e+01, 139.9, 100.3, 945.8,568.74,6.134e-01, 104.5,  81.6, 874.2,524.63
   8,5.000e-05,1.318e+01, 126.7,  87.6, 943.7,566.08,6.063e-01, 101.6,  70.5, 876.5,530.08
   9,5.000e-05,1.316e+01, 126.8,  87.3, 941.8,564.13,5.978e-01,  98.3,  68.6, 875.3,528.52
  10,5.000e-05,1.302e+01, 125.2,  86.1, 940.5,562.86,6.747e-01, 127.3, 110.0, 867.1,517.15
  11,5.000e-05,1.323e+01, 129.7,  91.4, 939.7,562.62,5.950e-01, 101.0,  78.8, 866.1,516.34
  12,5.000e-05,1.288e+01, 125.1,  86.8, 937.5,560.04,6.190e-01, 108.2,  76.2, 871.9,526.25
  13,5.000e-05,1.339e+01, 133.0,  95.5, 936.3,558.88,6.454e-01, 118.3,  99.5, 865.1,516.27
  14,5.000e-05,1.330e+01, 132.6,  96.8, 936.2,559.72,6.565e-01, 121.9, 103.9, 864.7,518.07
  15,5.000e-05,1.298e+01, 126.8,  91.5, 936.2,560.82,6.163e-01, 108.6,  87.7, 864.0,516.54
  16,5.000e-05,1.268e+01, 121.5,  86.8, 934.1,559.63,5.770e-01,  93.6,  67.3, 866.3,521.14
  17,5.000e-05,1.262e+01, 121.4,  87.4, 932.9,558.17,5.746e-01,  92.7,  70.8, 863.9,519.55
  18,5.000e-05,1.228e+01, 115.7,  82.7, 930.0,556.95,5.800e-01,  94.1,  67.0, 867.3,526.78
  19,5.000e-05,1.239e+01, 117.1,  85.9, 926.2,555.39,5.653e-01,  93.6,  72.6, 854.4,512.93
  20,5.000e-05,1.239e+01, 122.5,  91.6, 916.4,548.64,5.333e-01,  83.7,  64.6, 846.6,511.19
  21,5.000e-05,1.089e+01, 102.1,  75.6, 893.4,533.40,5.197e-01,  95.2,  70.5, 815.0,488.85
  22,5.000e-05,9.884e+00,  91.8,  67.6, 862.1,513.92,4.329e-01,  66.1,  48.0, 791.4,473.42
  23,5.000e-05,9.154e+00,  85.8,  63.3, 834.6,495.44,4.472e-01,  97.7,  87.8, 744.3,440.18
  24,5.000e-05,8.120e+00,  85.5,  64.4, 776.6,455.42,3.084e-01,  62.3,  50.8, 684.9,392.22
  25,5.000e-05,6.802e+00,  74.3,  54.9, 717.5,413.05,3.131e-01,  81.2,  73.3, 647.3,369.41
  26,5.000e-05,5.957e+00,  67.7,  51.5, 677.5,390.19,2.269e-01,  43.8,  32.4, 613.1,348.87
  27,5.000e-05,4.938e+00,  55.9,  42.2, 628.6,366.02,2.006e-01,  43.3,  34.4, 574.1,329.96
  28,5.000e-05,4.725e+00,  70.6,  54.1, 580.3,340.36,2.332e-01,  76.0,  67.4, 542.3,313.35
  29,5.000e-05,3.852e+00,  58.2,  44.3, 536.6,316.98,1.763e-01,  39.8,  33.0, 528.8,318.39
  30,5.000e-05,3.777e+00,  59.8,  43.7, 528.2,317.94,1.470e-01,  33.0,  24.8, 492.7,292.02
  31,5.000e-05,3.145e+00,  46.7,  36.0, 495.3,298.49,1.379e-01,  36.9,  27.5, 465.5,274.69
  32,5.000e-05,3.171e+00,  53.4,  40.6, 484.9,293.26,1.327e-01,  33.6,  26.6, 458.2,272.97
  33,5.000e-05,2.967e+00,  51.8,  40.2, 467.0,286.13,1.649e-01,  44.4,  36.3, 498.5,315.65
  34,5.000e-05,2.788e+00,  48.6,  38.1, 457.0,280.52,1.210e-01,  31.6,  25.4, 432.7,266.33
  35,5.000e-05,2.721e+00,  53.2,  40.0, 440.8,274.42,1.116e-01,  29.3,  23.2, 416.5,261.21
  36,5.000e-05,2.424e+00,  49.0,  37.7, 418.3,263.45,1.296e-01,  52.3,  43.6, 398.9,254.60
  37,5.000e-05,2.361e+00,  46.9,  34.8, 418.9,265.64,1.103e-01,  35.0,  25.8, 400.8,251.11
  38,5.000e-05,2.651e+00,  51.7,  40.0, 434.5,278.54,1.290e-01,  41.5,  33.0, 430.6,275.84
  39,5.000e-05,2.386e+00,  44.8,  34.7, 425.2,271.32,1.041e-01,  31.0,  23.5, 387.4,257.14
  40,5.000e-05,2.167e+00,  43.8,  33.8, 401.6,259.87,1.050e-01,  34.1,  28.1, 384.7,254.35
  41,5.000e-05,2.100e+00,  44.3,  34.5, 393.7,255.13,9.502e-02,  29.5,  22.2, 370.4,239.81
  42,5.000e-05,1.962e+00,  41.9,  32.6, 381.6,248.20,9.959e-02,  39.4,  30.7, 357.3,240.36
  43,5.000e-05,1.889e+00,  43.6,  34.1, 368.3,240.42,8.993e-02,  30.7,  22.7, 352.5,235.09
  44,5.000e-05,2.187e+00,  49.3,  38.0, 389.9,254.06,8.670e-02,  30.2,  21.5, 347.6,227.61
  45,5.000e-05,1.948e+00,  41.1,  31.8, 382.5,248.47,7.913e-02,  26.8,  21.2, 334.4,222.76
  46,5.000e-05,1.899e+00,  40.2,  30.7, 377.6,245.37,9.139e-02,  42.0,  33.7, 332.3,220.98
  47,5.000e-05,1.701e+00,  38.5,  29.6, 357.3,233.68,8.362e-02,  26.1,  19.4, 349.4,232.56
  48,5.000e-05,1.668e+00,  36.6,  28.3, 356.7,232.70,1.391e-01,  65.8,  60.2, 366.8,250.41
