Epoch,learning rate,training loss,training mtt::LPS RMSE (per atom),training mtt::LPS MAE (per atom),training forces[mtt::LPS] RMSE,training forces[mtt::LPS] MAE,validation loss,validation mtt::LPS RMSE (per atom),validation mtt::LPS MAE (per atom),validation forces[mtt::LPS] RMSE,validation forces[mtt::LPS] MAE
,,,meV,meV,meV/A,meV/A,,meV,meV,meV/A,meV/A
   0,0.000e+00,1.037e+03,1646.1,1621.4,1436.5,1055.5,5.905e+01,1616.2,1596.8,1391.7,1024.1
   1,2.000e-06,4.404e+02, 865.1, 747.2,1132.8, 766.7,1.159e+01, 251.5, 224.0, 925.3, 585.5
   2,4.000e-06,1.878e+02, 152.4,  99.7, 918.5, 557.8,7.688e+00,  99.3,  67.1, 789.5, 469.8
   3,6.000e-06,1.335e+02,  95.9,  58.9, 779.4, 449.9,5.086e+00,  67.4,  46.7, 660.1, 374.3
   4,8.000e-06,9.414e+01,  66.7,  43.0, 656.6, 362.0,3.504e+00,  46.9,  34.6, 562.5, 305.7
   5,1.000e-05,7.040e+01,  48.8,  32.7, 570.1, 305.5,2.734e+00,  37.8,  26.9, 503.9, 269.5
   6,1.000e-05,5.833e+01,  41.0,  27.0, 518.6, 277.1,2.368e+00,  34.9,  23.2, 471.2, 252.0
   7,1.000e-05,5.099e+01,  37.5,  24.7, 484.5, 259.6,2.095e+00,  33.0,  21.5, 445.2, 237.9
   8,1.000e-05,4.525e+01,  34.7,  22.9, 455.3, 244.0,1.850e+00,  31.2,  20.6, 420.4, 222.7
   9,1.000e-05,3.968e+01,  32.4,  21.6, 427.3, 228.7,1.640e+00,  30.6,  19.4, 397.2, 210.6
  10,1.000e-05,3.439e+01,  29.7,  20.0, 400.2, 214.7,1.450e+00,  28.3,  17.9, 375.0, 198.5
  11,1.000e-05,3.068e+01,  27.1,  18.2, 376.0, 202.3,1.284e+00,  26.0,  15.8, 354.0, 187.8
  12,1.000e-05,2.704e+01,  24.4,  16.4, 353.3, 191.3,1.148e+00,  24.1,  14.5, 334.8, 178.7
  13,1.000e-05,2.407e+01,  21.7,  14.6, 332.7, 181.7,1.032e+00,  22.4,  13.6, 317.6, 171.7
  14,1.000e-05,2.156e+01,  19.8,  13.3, 314.5, 173.6,9.315e-01,  20.5,  11.9, 301.5, 164.7
  15,1.000e-05,1.934e+01,  18.1,  12.1, 298.8, 166.4,8.478e-01,  18.9,  10.9, 287.3, 158.5
  16,1.000e-05,1.748e+01,  16.7,  11.2, 285.0, 159.9,7.783e-01,  18.4,  10.1, 274.9, 152.4
  17,1.000e-05,1.611e+01,  16.1,  10.9, 273.4, 154.2,7.188e-01,  17.6,   9.9, 264.0, 147.1
  18,1.000e-05,1.479e+01,  15.6,  10.5, 263.3, 149.0,6.702e-01,  17.5,   9.7, 254.7, 141.9
  19,1.000e-05,1.407e+01,  15.2,  10.2, 254.4, 144.0,6.257e-01,  16.9,   9.4, 245.9, 138.0
  20,1.000e-05,1.317e+01,  15.1,  10.3, 246.6, 140.0,5.881e-01,  16.7,   9.0, 238.3, 134.0
  21,1.000e-05,1.225e+01,  14.5,   9.8, 239.3, 135.7,5.537e-01,  16.2,   9.1, 231.2, 130.5
  22,1.000e-05,1.168e+01,  14.2,   9.5, 232.7, 132.0,5.235e-01,  16.3,   8.9, 224.6, 126.9
  23,1.000e-05,1.101e+01,  14.0,   9.6, 226.5, 128.4,4.949e-01,  16.9,  10.4, 218.4, 123.4
  24,1.000e-05,1.045e+01,  13.7,   9.4, 220.6, 124.9,4.708e-01,  16.7,   8.8, 212.9, 120.8
  25,1.000e-05,9.962e+00,  13.6,   9.5, 215.1, 122.0,4.465e-01,  16.5,   8.6, 207.2, 117.1
  26,1.000e-05,9.404e+00,  13.2,   9.1, 210.1, 119.0,4.249e-01,  16.3,   8.8, 202.1, 114.4
  27,1.000e-05,8.927e+00,  13.2,   9.3, 205.0, 115.9,4.069e-01,  17.1,   9.2, 197.4, 112.2
  28,1.000e-05,8.656e+00,  13.2,   9.5, 200.5, 113.5,3.878e-01,  16.9,   9.8, 192.7, 109.6
  29,1.000e-05,8.288e+00,  13.0,   9.4, 196.1, 111.0,3.710e-01,  16.4,   9.2, 188.4, 107.3
  30,1.000e-05,7.991e+00,  13.1,   9.6, 191.9, 108.8,3.557e-01,  16.7,   9.5, 184.4, 104.8
  31,1.000e-05,7.485e+00,  13.0,   9.6, 187.9, 106.4,3.421e-01,  16.8,   9.6, 180.6, 102.6
  32,1.000e-05,7.348e+00,  13.0,   9.6, 184.3, 104.1,3.308e-01,  17.7,  10.9, 177.3, 101.1
  33,1.000e-05,7.002e+00,  13.1,   9.8, 180.8, 102.3,3.168e-01,  17.6,   9.7, 173.8,  98.8
  34,1.000e-05,6.798e+00,  13.0,   9.7, 177.4, 100.3,3.066e-01,  17.2,  10.0, 170.7,  97.4
  35,1.000e-05,6.557e+00,  13.3,  10.0, 174.2,  98.6,2.978e-01,  17.3,  10.4, 168.1,  96.1
  36,1.000e-05,6.278e+00,  13.3,  10.0, 171.3,  97.0,2.866e-01,  18.7,  12.2, 164.9,  94.1
  37,1.000e-05,6.084e+00,  13.2,  10.0, 168.5,  95.2,2.789e-01,  17.8,   9.8, 162.6,  92.8
  38,1.000e-05,5.949e+00,  13.2,  10.0, 165.8,  93.7,2.701e-01,  17.6,   9.9, 160.0,  91.2
  39,1.000e-05,5.707e+00,  13.0,   9.9, 163.6,  92.3,2.648e-01,  19.1,  12.5, 158.1,  90.4
  40,1.000e-05,5.563e+00,  13.4,  10.1, 161.3,  91.1,2.558e-01,  17.5,  10.3, 155.7,  88.8
  41,1.000e-05,5.397e+00,  13.0,   9.9, 159.3,  89.9,2.501e-01,  17.7,  10.1, 153.9,  87.9
  42,1.000e-05,5.348e+00,  13.1,  10.0, 157.3,  88.8,2.485e-01,  18.2,   9.4, 152.9,  87.9
  43,1.000e-05,5.169e+00,  13.8,  10.4, 155.4,  87.7,2.404e-01,  20.7,  15.0, 150.4,  85.8
  44,1.000e-05,5.132e+00,  13.3,  10.0, 153.7,  86.6,2.354e-01,  17.6,  10.2, 148.8,  85.2
  45,1.000e-05,4.968e+00,  12.9,   9.7, 152.2,  85.9,2.326e-01,  22.0,  16.1, 147.4,  84.3
  46,1.000e-05,4.863e+00,  12.9,   9.6, 150.6,  84.8,2.281e-01,  18.6,  11.2, 146.1,  83.6
  47,1.000e-05,4.748e+00,  13.0,   9.8, 149.1,  84.1,2.235e-01,  18.2,   9.5, 145.0,  83.0
  48,1.000e-05,4.771e+00,  13.0,   9.7, 148.0,  83.4,2.206e-01,  20.8,  12.5, 143.5,  82.0
  49,1.000e-05,4.605e+00,  13.0,   9.7, 146.7,  82.7,2.158e-01,  17.4,   9.5, 142.5,  81.4
  50,1.000e-05,4.497e+00,  12.7,   9.4, 145.5,  82.0,2.116e-01,  17.6,  10.6, 141.2,  80.5
  51,1.000e-05,4.399e+00,  12.8,   9.5, 144.5,  81.3,2.091e-01,  17.3,   9.0, 140.5,  80.2
  52,1.000e-05,4.316e+00,  13.0,   9.8, 143.5,  80.8,2.094e-01,  19.1,  10.0, 140.0,  80.2
  53,1.000e-05,4.397e+00,  13.5,  10.2, 142.6,  80.2,2.052e-01,  19.1,   9.7, 138.7,  79.1
  54,1.000e-05,4.281e+00,  13.1,   9.9, 141.6,  79.7,2.016e-01,  17.0,   8.8, 137.8,  78.8
  55,1.000e-05,4.213e+00,  12.8,   9.5, 140.9,  79.3,1.992e-01,  17.5,   9.3, 137.0,  78.0
  56,1.000e-05,4.186e+00,  12.4,   9.2, 140.0,  78.9,1.980e-01,  17.3,   8.7, 136.4,  77.6
  57,1.000e-05,4.166e+00,  12.2,   9.0, 139.1,  78.3,1.951e-01,  18.1,  11.2, 135.4,  77.4
  58,1.000e-05,4.136e+00,  12.3,   9.1, 138.5,  77.9,1.939e-01,  17.1,   9.7, 134.9,  77.0
  59,1.000e-05,4.051e+00,  12.7,   9.5, 137.7,  77.5,1.917e-01,  17.0,   8.8, 134.3,  76.5
  60,1.000e-05,3.961e+00,  12.3,   9.2, 137.2,  77.2,1.906e-01,  18.5,   9.2, 133.8,  76.0
  61,1.000e-05,3.989e+00,  13.0,   9.7, 136.4,  76.8,1.898e-01,  17.8,  10.2, 133.5,  76.0
  62,1.000e-05,3.886e+00,  11.9,   8.7, 135.9,  76.4,1.884e-01,  18.3,  12.3, 133.0,  76.0
  63,1.000e-05,3.863e+00,  11.9,   8.9, 135.2,  76.1,1.882e-01,  19.2,  10.6, 132.5,  75.4
  64,1.000e-05,3.873e+00,  12.2,   9.1, 134.6,  75.8,1.862e-01,  20.5,  14.8, 131.6,  74.9
  65,1.000e-05,3.793e+00,  11.7,   8.5, 134.2,  75.5,1.831e-01,  17.1,   8.6, 131.3,  74.5
  66,1.000e-05,3.820e+00,  12.2,   8.9, 133.7,  75.2,1.818e-01,  17.0,   8.3, 130.9,  74.2
  67,1.000e-05,3.799e+00,  12.3,   9.1, 133.3,  75.0,1.819e-01,  17.7,  10.4, 130.6,  74.2
  68,1.000e-05,3.731e+00,  11.6,   8.6, 132.6,  74.6,1.800e-01,  16.6,   8.6, 130.0,  73.8
  69,1.000e-05,3.697e+00,  12.0,   8.9, 132.1,  74.3,1.792e-01,  16.9,   8.2, 129.7,  73.6
  70,1.000e-05,3.658e+00,  12.2,   9.0, 131.7,  74.1,1.777e-01,  16.9,  10.2, 129.2,  73.5
  71,1.000e-05,3.598e+00,  11.1,   8.1, 131.2,  73.7,1.766e-01,  17.1,   8.5, 128.9,  73.0
  72,1.000e-05,3.695e+00,  12.2,   9.0, 131.0,  73.7,1.757e-01,  16.5,   8.9, 128.6,  73.0
  73,1.000e-05,3.621e+00,  12.1,   9.0, 130.2,  73.4,1.747e-01,  16.4,   8.3, 128.3,  72.7
  74,1.000e-05,3.558e+00,  12.0,   9.0, 129.7,  73.1,1.745e-01,  17.0,   9.7, 127.8,  72.7
  75,1.000e-05,3.541e+00,  11.4,   8.4, 129.6,  72.9,1.734e-01,  17.0,   8.0, 127.5,  72.2
  76,1.000e-05,3.600e+00,  11.4,   8.4, 129.1,  72.6,1.730e-01,  16.1,   8.6, 127.4,  72.3
  77,1.000e-05,3.504e+00,  12.0,   8.9, 128.7,  72.5,1.721e-01,  17.6,  10.8, 127.0,  72.0
  78,1.000e-05,3.482e+00,  11.4,   8.4, 128.3,  72.3,1.704e-01,  16.4,   8.4, 126.5,  71.7
  79,1.000e-05,3.534e+00,  11.4,   8.3, 128.0,  72.1,1.721e-01,  18.9,  10.5, 126.5,  72.1
  80,1.000e-05,3.507e+00,  12.2,   9.2, 127.7,  72.0,1.704e-01,  17.6,   8.1, 126.3,  71.5
  81,1.000e-05,3.386e+00,  11.5,   8.3, 126.3,  71.6,1.689e-01,  16.5,   9.2, 126.1,  71.3
  82,1.000e-05,3.467e+00,  12.1,   9.0, 127.1,  71.7,1.692e-01,  18.0,   8.5, 125.8,  71.1
  83,1.000e-05,3.443e+00,  11.7,   8.6, 126.8,  71.3,1.673e-01,  16.6,  10.0, 125.4,  70.8
