[2025-10-10 17:46:11][INFO] - This log is also available at '/scratch/tisi/cartospeed/transfer_learning/only_heads/outputs/2025-10-10/17-46-11/train.log'.
[2025-10-10 17:46:11][INFO] - Package version: 2025.10
[2025-10-10 17:46:11][INFO] - Package directory: /home/tisi/miniforge3/envs/cartospeed_2025_9/lib/python3.13/site-packages/metatrain
[2025-10-10 17:46:11][INFO] - Working directory: /scratch/tisi/cartospeed/transfer_learning/only_heads
[2025-10-10 17:46:11][INFO] - Executed command: mtt train options-c.yaml
[2025-10-10 17:46:11][INFO] - Running training for 'pet' architecture
[2025-10-10 17:46:12][INFO] - Random seed of this run is 22
[2025-10-10 17:46:12][INFO] - Setting up training set
[2025-10-10 17:46:15][INFO] - Forces found in section 'energy', we will use this gradient to train the model
[2025-10-10 17:46:16][INFO] - Setting up validation set
[2025-10-10 17:46:16][INFO] - Forces found in section 'energy', we will use this gradient to train the model
[2025-10-10 17:46:16][INFO] - Setting up test set
[2025-10-10 17:46:16][INFO] - Forces found in section 'energy', we will use this gradient to train the model
[2025-10-10 17:46:16][INFO] - Atomic types inferred from training and validation datasets
[2025-10-10 17:46:16][INFO] - Model defined for atomic types: [1, 3, 8, 15, 16]
[2025-10-10 17:46:17][INFO] - Training dataset:
    Dataset containing 3473 structures
    Mean and standard deviation of targets:
    - mtt::LPS: 
      - mean -251.1 eV
      - std  195.5 eV
[2025-10-10 17:46:17][INFO] - Validation dataset:
    Dataset containing 202 structures
    Mean and standard deviation of targets:
    - mtt::LPS: 
      - mean -254.5 eV
      - std  202.4 eV
[2025-10-10 17:46:17][INFO] - Test dataset:
    Dataset containing 412 structures
    Mean and standard deviation of targets:
    - mtt::LPS: 
      - mean -253.8 eV
      - std  197.9 eV
[2025-10-10 17:46:17][INFO] - Restart options: /scratch/tisi/cartospeed/transfer_learning/only_heads/outputs/2025-10-10/17-46-11/options_restart.yaml
[2025-10-10 17:46:17][INFO] - Setting up model
[2025-10-10 17:46:17][INFO] - Starting finetuning from '../../pet-mad-v1.0.2.ckpt'
[2025-10-10 17:46:17][INFO] - Using best model from epoch None
[2025-10-10 17:46:17][INFO] - The model has 3.1M parameters (actual number: 3055112).
[2025-10-10 17:46:17][INFO] - Calling trainer
[2025-10-10 17:46:17][INFO] - Intermediate checkpoints (if available): /scratch/tisi/cartospeed/transfer_learning/only_heads/outputs/2025-10-10/17-46-11
[2025-10-10 17:46:17][INFO] - Training on device cuda with dtype torch.float32
[2025-10-10 17:46:17][INFO] - Calculating neighbor lists for the datasets
[2025-10-10 17:46:19][INFO] - Applied finetuning strategy: heads
[2025-10-10 17:46:19][INFO] - Number of trainable parameters: 396296 [12.97% %]
[2025-10-10 17:46:20][INFO] - Calculating composition weights
[2025-10-10 17:46:22][INFO] - Setting up data loaders
[2025-10-10 17:46:22][INFO] - Using the following loss functions:
[2025-10-10 17:46:22][INFO] - energy:
[2025-10-10 17:46:22][INFO] - {'type': 'mse', 'weight': 1.0, 'reduction': 'mean', 'sliding_factor': None}
[2025-10-10 17:46:22][INFO] - With gradients:
[2025-10-10 17:46:22][INFO] - 	energy::positions: {'type': 'mse', 'weight': 1.0, 'reduction': 'mean', 'sliding_factor': None}
[2025-10-10 17:46:22][INFO] - mtt::LPS:
[2025-10-10 17:46:22][INFO] - {'type': 'mse', 'weight': 1.0, 'reduction': 'mean', 'sliding_factor': None}
[2025-10-10 17:46:22][INFO] - With gradients:
[2025-10-10 17:46:22][INFO] - 	mtt::LPS::positions: {'type': 'mse', 'weight': 1.0, 'reduction': 'mean', 'sliding_factor': None}
[2025-10-10 17:46:32][INFO] - Base learning rate: 1e-05
[2025-10-10 17:46:32][INFO] - Initial learning rate: 0.0
[2025-10-10 17:46:32][INFO] - Starting training
[2025-10-10 17:47:00][INFO] - Epoch:    0 | learning rate: 0.000e+00 | training loss: 1.037e+03 | training mtt::LPS RMSE (per atom): 1646.1 meV | training mtt::LPS MAE (per atom): 1621.4 meV | training forces[mtt::LPS] RMSE: 1436.5 meV/A | training forces[mtt::LPS] MAE: 1055.5 meV/A | validation loss: 5.905e+01 | validation mtt::LPS RMSE (per atom): 1616.2 meV | validation mtt::LPS MAE (per atom): 1596.8 meV | validation forces[mtt::LPS] RMSE: 1391.7 meV/A | validation forces[mtt::LPS] MAE: 1024.1 meV/A
[2025-10-10 17:47:28][INFO] - Epoch:    1 | learning rate: 2.000e-06 | training loss: 4.404e+02 | training mtt::LPS RMSE (per atom):  865.1 meV | training mtt::LPS MAE (per atom):  747.2 meV | training forces[mtt::LPS] RMSE: 1132.8 meV/A | training forces[mtt::LPS] MAE:  766.7 meV/A | validation loss: 1.159e+01 | validation mtt::LPS RMSE (per atom):  251.5 meV | validation mtt::LPS MAE (per atom):  224.0 meV | validation forces[mtt::LPS] RMSE:  925.3 meV/A | validation forces[mtt::LPS] MAE:  585.5 meV/A
[2025-10-10 17:47:56][INFO] - Epoch:    2 | learning rate: 4.000e-06 | training loss: 1.878e+02 | training mtt::LPS RMSE (per atom):  152.4 meV | training mtt::LPS MAE (per atom):   99.7 meV | training forces[mtt::LPS] RMSE:  918.5 meV/A | training forces[mtt::LPS] MAE:  557.8 meV/A | validation loss: 7.688e+00 | validation mtt::LPS RMSE (per atom):   99.3 meV | validation mtt::LPS MAE (per atom):   67.1 meV | validation forces[mtt::LPS] RMSE:  789.5 meV/A | validation forces[mtt::LPS] MAE:  469.8 meV/A
[2025-10-10 17:48:25][INFO] - Epoch:    3 | learning rate: 6.000e-06 | training loss: 1.335e+02 | training mtt::LPS RMSE (per atom):   95.9 meV | training mtt::LPS MAE (per atom):   58.9 meV | training forces[mtt::LPS] RMSE:  779.4 meV/A | training forces[mtt::LPS] MAE:  449.9 meV/A | validation loss: 5.086e+00 | validation mtt::LPS RMSE (per atom):   67.4 meV | validation mtt::LPS MAE (per atom):   46.7 meV | validation forces[mtt::LPS] RMSE:  660.1 meV/A | validation forces[mtt::LPS] MAE:  374.3 meV/A
[2025-10-10 17:48:53][INFO] - Epoch:    4 | learning rate: 8.000e-06 | training loss: 9.414e+01 | training mtt::LPS RMSE (per atom):   66.7 meV | training mtt::LPS MAE (per atom):   43.0 meV | training forces[mtt::LPS] RMSE:  656.6 meV/A | training forces[mtt::LPS] MAE:  362.0 meV/A | validation loss: 3.504e+00 | validation mtt::LPS RMSE (per atom):   46.9 meV | validation mtt::LPS MAE (per atom):   34.6 meV | validation forces[mtt::LPS] RMSE:  562.5 meV/A | validation forces[mtt::LPS] MAE:  305.7 meV/A
[2025-10-10 17:48:53][INFO] - Finished warm-up. Now training with learning rate 1e-05
[2025-10-10 17:49:20][INFO] - Epoch:    5 | learning rate: 1.000e-05 | training loss: 7.040e+01 | training mtt::LPS RMSE (per atom):   48.8 meV | training mtt::LPS MAE (per atom):   32.7 meV | training forces[mtt::LPS] RMSE:  570.1 meV/A | training forces[mtt::LPS] MAE:  305.5 meV/A | validation loss: 2.734e+00 | validation mtt::LPS RMSE (per atom):   37.8 meV | validation mtt::LPS MAE (per atom):   26.9 meV | validation forces[mtt::LPS] RMSE:  503.9 meV/A | validation forces[mtt::LPS] MAE:  269.5 meV/A
[2025-10-10 17:49:48][INFO] - Epoch:    6 | learning rate: 1.000e-05 | training loss: 5.833e+01 | training mtt::LPS RMSE (per atom):   41.0 meV | training mtt::LPS MAE (per atom):   27.0 meV | training forces[mtt::LPS] RMSE:  518.6 meV/A | training forces[mtt::LPS] MAE:  277.1 meV/A | validation loss: 2.368e+00 | validation mtt::LPS RMSE (per atom):   34.9 meV | validation mtt::LPS MAE (per atom):   23.2 meV | validation forces[mtt::LPS] RMSE:  471.2 meV/A | validation forces[mtt::LPS] MAE:  252.0 meV/A
[2025-10-10 17:50:16][INFO] - Epoch:    7 | learning rate: 1.000e-05 | training loss: 5.099e+01 | training mtt::LPS RMSE (per atom):   37.5 meV | training mtt::LPS MAE (per atom):   24.7 meV | training forces[mtt::LPS] RMSE:  484.5 meV/A | training forces[mtt::LPS] MAE:  259.6 meV/A | validation loss: 2.095e+00 | validation mtt::LPS RMSE (per atom):   33.0 meV | validation mtt::LPS MAE (per atom):   21.5 meV | validation forces[mtt::LPS] RMSE:  445.2 meV/A | validation forces[mtt::LPS] MAE:  237.9 meV/A
[2025-10-10 17:50:44][INFO] - Epoch:    8 | learning rate: 1.000e-05 | training loss: 4.525e+01 | training mtt::LPS RMSE (per atom):   34.7 meV | training mtt::LPS MAE (per atom):   22.9 meV | training forces[mtt::LPS] RMSE:  455.3 meV/A | training forces[mtt::LPS] MAE:  244.0 meV/A | validation loss: 1.850e+00 | validation mtt::LPS RMSE (per atom):   31.2 meV | validation mtt::LPS MAE (per atom):   20.6 meV | validation forces[mtt::LPS] RMSE:  420.4 meV/A | validation forces[mtt::LPS] MAE:  222.7 meV/A
[2025-10-10 17:51:12][INFO] - Epoch:    9 | learning rate: 1.000e-05 | training loss: 3.968e+01 | training mtt::LPS RMSE (per atom):   32.4 meV | training mtt::LPS MAE (per atom):   21.6 meV | training forces[mtt::LPS] RMSE:  427.3 meV/A | training forces[mtt::LPS] MAE:  228.7 meV/A | validation loss: 1.640e+00 | validation mtt::LPS RMSE (per atom):   30.6 meV | validation mtt::LPS MAE (per atom):   19.4 meV | validation forces[mtt::LPS] RMSE:  397.2 meV/A | validation forces[mtt::LPS] MAE:  210.6 meV/A
